latitude,longitude,classification,climate_code,description,color
22.35,120.75,11,Cwa,"Temperate, dry winter, hot summer","[150, 255, 150]"
22.35,120.85,2,Am,"Tropical, monsoon","[0, 120, 255]"
22.35,120.95,2,Am,"Tropical, monsoon","[0, 120, 255]"
22.25,120.65,2,Am,"Tropical, monsoon","[0, 120, 255]"
22.25,120.75,2,Am,"Tropical, monsoon","[0, 120, 255]"
22.25,120.85,2,Am,"Tropical, monsoon","[0, 120, 255]"
22.15,120.65,2,Am,"Tropical, monsoon","[0, 120, 255]"
22.15,120.75,2,Am,"Tropical, monsoon","[0, 120, 255]"
22.15,120.85,2,Am,"Tropical, monsoon","[0, 120, 255]"
22.05,120.65,2,Am,"Tropical, monsoon","[0, 120, 255]"
22.05,120.75,2,Am,"Tropical, monsoon","[0, 120, 255]"
22.05,120.85,2,Am,"Tropical, monsoon","[0, 120, 255]"
22.05,121.55,1,Af,"Tropical, rainforest","[0, 0, 255]"
21.95,120.75,2,Am,"Tropical, monsoon","[0, 120, 255]"
21.95,120.85,2,Am,"Tropical, monsoon","[0, 120, 255]"
21.95,121.65,1,Af,"Tropical, rainforest","[0, 0, 255]"
21.05,121.95,2,Am,"Tropical, monsoon","[0, 120, 255]"
20.95,121.95,1,Af,"Tropical, rainforest","[0, 0, 255]"
20.85,121.85,1,Af,"Tropical, rainforest","[0, 0, 255]"
20.75,121.75,2,Am,"Tropical, monsoon","[0, 120, 255]"
20.75,121.85,1,Af,"Tropical, rainforest","[0, 0, 255]"
20.75,121.95,1,Af,"Tropical, rainforest","[0, 0, 255]"
20.65,121.85,1,Af,"Tropical, rainforest","[0, 0, 255]"
