date,AverageTemperature,Year,CityGroup_North-East,CityGroup_North-West,CityGroup_South-East,CityGroup_South-West,season_Fall,season_Spring,season_Summer,season_Winter,climate_type_Cfa,month_sin,month_cos,lat_sin,lat_cos,long_sin,long_cos,AverageTemperatureUncertainty,Anomaly,AverageTemperatureChangeVsLastMonth
1841-01-01,13.108,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.4213524058002907,0.9068969898099272,0.8608308583809804,-0.5088911801741748,0.11411280669847944,-1.7077385132137728,-0.022064031043132717
1841-01-01,15.505999999999998,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.3957057956712232,0.9183773316410876,0.8685450273578991,-0.4956102656845058,0.11411280669847944,-0.5289500848938102,-2.6760481719036657
1841-01-01,15.393999999999998,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.4213524058002907,0.9068969898099272,0.8447017973857531,-0.5352372123584814,0.11411280669847944,-0.5840060915542923,-2.722622309349651
1841-01-01,15.199000000000002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.3957057956712232,0.9183773316410876,0.8530047293528817,-0.5219031823064667,0.11411280669847944,-0.6798625317220942,-2.803711209367214
1841-02-01,16.093,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.49999999999999994,0.8660254037844387,0.3957057956712232,0.9183773316410876,0.8685450273578991,-0.4956102656845058,2.511897738740691,-0.24039762141431878,0.24365805670673166
1841-02-01,15.713,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.49999999999999994,0.8660254037844387,0.4213524058002907,0.9068969898099272,0.8447017973857531,-0.5352372123584814,2.456033571907238,-0.4271947868695261,0.13221279924669455
1841-02-01,15.98,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.49999999999999994,0.8660254037844387,0.3957057956712232,0.9183773316410876,0.8530047293528817,-0.5219031823064667,2.4521808707463104,-0.2959451995628406,0.32433111621138405
1841-02-01,13.234000000000002,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.49999999999999994,0.8660254037844387,0.4213524058002907,0.9068969898099272,0.8608308583809804,-0.5088911801741748,2.4849288306141966,-1.64580050572073,0.05195558025495178
1841-03-01,14.386,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.8660254037844386,0.5000000000000001,0.4213524058002907,0.9068969898099272,0.8608308583809804,-0.5088911801741748,0.11411280669847944,-0.017134250016946764,0.4786079465012106
1841-03-01,16.706,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.8660254037844386,0.5000000000000001,0.3957057956712232,0.9183773316410876,0.8530047293528817,-0.5219031823064667,0.11411280669847944,-2.093370489425572,0.30145988800130197
1841-03-01,16.326,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.8660254037844386,0.5000000000000001,0.4213524058002907,0.9068969898099272,0.8447017973857531,-0.5352372123584814,0.11411280669847944,-2.280167654880778,0.25446991004240677
1841-03-01,17.445999999999998,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.8660254037844386,0.5000000000000001,0.3957057956712232,0.9183773316410876,0.8685450273578991,-0.4956102656845058,0.11411280669847944,-1.729607588275959,0.5621918895962384
1841-04-01,19.456000000000003,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,6.123233995736766e-17,0.3957057956712232,0.9183773316410876,0.8530047293528817,-0.5219031823064667,2.6197733712466706,-0.7415488973155199,1.1431210861323282
1841-04-01,19.328,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,6.123233995736766e-17,0.4213524058002907,0.9068969898099272,0.8447017973857531,-0.5352372123584814,2.6679321357582686,-0.8044700477846439,1.2479128953857939
1841-04-01,18.287,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,6.123233995736766e-17,0.4213524058002907,0.9068969898099272,0.8608308583809804,-0.5088911801741748,2.7719550671033195,-1.316195966834303,1.6217535164924102
1841-04-01,21.119,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.3957057956712232,0.9183773316410876,0.8685450273578991,-0.4956102656845058,2.746912509557289,0.07593448729502887,1.5269418795487977
1841-05-01,22.629,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.8660254037844387,-0.4999999999999998,0.3957057956712232,0.9183773316410876,0.8530047293528817,-0.5219031823064667,1.5756913566352302,0.8182074342354572,1.3190216230935037
1841-05-01,22.627,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.8660254037844387,-0.4999999999999998,0.4213524058002907,0.9068969898099272,0.8608308583809804,-0.5088911801741748,1.5506487990891995,0.8172242912593759,1.804307501660157
1841-05-01,22.992,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.8660254037844387,-0.4999999999999998,0.4213524058002907,0.9068969898099272,0.8447017973857531,-0.5352372123584814,1.5756913566352302,0.9966478843939837,1.5231993149326022
1841-05-01,24.767,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.8660254037844387,-0.4999999999999998,0.3957057956712232,0.9183773316410876,0.8685450273578991,-0.4956102656845058,1.5024900345776016,1.8691872756650154,1.516545866726032
1841-06-01,26.199,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.49999999999999994,-0.8660254037844387,0.3957057956712232,0.9183773316410876,0.8685450273578991,-0.4956102656845058,2.706459147367547,-0.3456653269084799,0.5950432901161764
1841-06-01,25.133000000000003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.49999999999999994,-0.8660254037844387,0.4213524058002907,0.9068969898099272,0.8447017973857531,-0.5352372123584814,-0.49031964091231495,-0.8696805331591388,0.8898742137697812
1841-06-01,24.119,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.49999999999999994,-0.8660254037844387,0.3957057956712232,0.9183773316410876,0.8530047293528817,-0.5219031823064667,2.6294051241489904,-1.3681340220317186,0.6191620398649887
1841-06-01,24.916,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.49999999999999994,-0.8660254037844387,0.4213524058002907,0.9068969898099272,0.8608308583809804,-0.5088911801741748,-0.49031964091231495,-0.9763515460638239,0.9514186096805477
1841-07-01,27.619,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.2246467991473532e-16,-1.0,0.4213524058002907,0.9068969898099272,0.8608308583809804,-0.5088911801741748,2.1247012720674454,0.3523661861083451,1.123576582025529
1841-07-01,28.071,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.2246467991473532e-16,-1.0,0.3957057956712232,0.9183773316410876,0.8685450273578991,-0.4956102656845058,2.0341627947856415,0.5745564987024342,0.7780131157968329
1841-07-01,27.81,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.2246467991473532e-16,-1.0,0.4213524058002907,0.9068969898099272,0.8447017973857531,-0.5352372123584814,2.1054377662628063,0.44625634032398803,1.1127647286898525
